Party,Turnout,Race,Education,Children,Employment,FamilyIncome,VotingMethod,GayMarriage,DeathPenalty,UniHealthCare,GlobalWarming,TradePolicy,GenderEquality
Republican Party,Yes,Mixed,18,Yes,Full-time,175000.0,By mail,Favor,Favor the death penalty,No,Definitely is not happening,Oppose,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Part-time,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,13,No,Full-time,130000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,225000.0,By mail,Favor,Favor the death penalty,No,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,45000.0,By mail,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Full-time,130000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,130000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,18,Yes,Retired,90000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Black,18,No,Full-time,175000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Full-time,110000.0,In person on election day,Don't know,Don't know,Don't know,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Retired,55000.0,By mail,Don't know,Favor the death penalty,No,Probably is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,,In person on election day,Favor,Don't know,Don't know,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,35000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,8,No,Retired,,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Women have more opportunities than men
Democratic Party,Yes,White,16,No,Homemaker,130000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,No,White,12,No,Retired,35000.0,,Oppose,Favor the death penalty,No,Probably is not happening,Oppose,Men have more opportunities than women
Republican Party,No,White,18,No,Full-time,110000.0,,Favor,Favor the death penalty,No,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,Yes,Part-time,75000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Full-time,110000.0,In person on election day,Favor,Favor the death penalty,No,Definitely is not happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Unemployed,15000.0,In person before the election,Don't know,Don't know,No,Definitely is not happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,110000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,Yes,Full-time,130000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,Yes,Full-time,65000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,Yes,Permanently disabled,55000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Retired,55000.0,In person before the election,Oppose,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Retired,15000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Hispanic,13,Yes,Retired,75000.0,By mail,Don't know,Opposed to the death penalty,Yes,Probably is happening,Favor,Don't know
Republican Party,Yes,White,16,No,Permanently disabled,25000.0,By mail,Favor,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,Yes,Full-time,65000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,65000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,110000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,No,White,13,No,Permanently disabled,15000.0,,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,,By mail,Oppose,Favor the death penalty,Yes,Definitely is happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,12,No,Full-time,65000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Full-time,300000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,225000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Retired,,By mail,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,45000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Full-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Don't know
Republican Party,Yes,White,18,No,Retired,90000.0,In person on election day,Oppose,Favor the death penalty,Yes,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,,In person on election day,Oppose,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,,In person before the election,Don't know,Favor the death penalty,Yes,Probably is happening,Favor,Don't know
Republican Party,No,Asian,16,No,Full-time,90000.0,,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,225000.0,By mail,Oppose,Don't know,Yes,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Retired,90000.0,By mail,Oppose,Don't know,No,Don't know,Favor,Men and women have equal opportunities
Democratic Party,Yes,Asian,16,No,Full-time,90000.0,By mail,Don't know,Don't know,Yes,Definitely is happening,Don't know,Don't know
Democratic Party,Yes,Other,16,Yes,Part-time,55000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Oppose,Women have more opportunities than men
Democratic Party,Yes,Black,12,No,Retired,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,15000.0,By mail,Favor,Favor the death penalty,No,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,Black,18,Yes,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,90000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,,In person before the election,Oppose,Favor the death penalty,No,Definitely is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,12,No,Retired,55000.0,In person on election day,Oppose,Favor the death penalty,No,Don't know,Favor,Don't know
Republican Party,Yes,Hispanic,16,No,Full-time,175000.0,In person before the election,Favor,Favor the death penalty,Don't know,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,90000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,12,No,Full-time,75000.0,By mail,Don't know,Favor the death penalty,Don't know,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Temporarily laid off,75000.0,In person before the election,Favor,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,Hispanic,16,No,Retired,,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,Yes,Full-time,225000.0,By mail,Favor,Opposed to the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Democratic Party,Yes,White,16,No,Retired,,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Asian,16,No,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,Black,16,Yes,Full-time,130000.0,By mail,Favor,Don't know,Yes,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,Other,13,No,Permanently disabled,10000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Retired,75000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Women have more opportunities than men
Democratic Party,Yes,White,16,No,Permanently disabled,75000.0,In person on election day,Favor,Favor the death penalty,No,Probably is happening,Favor,Don't know
Republican Party,Yes,White,16,No,Full-time,35000.0,By mail,Don't know,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Hispanic,16,Yes,Full-time,45000.0,By mail,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,Yes,Full-time,65000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,Mixed,13,No,Full-time,90000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,18,No,Full-time,130000.0,In person before the election,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,75000.0,By mail,Don't know,Favor the death penalty,Don't know,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Other,8,No,Retired,75000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Native American,18,No,Full-time,90000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Full-time,130000.0,By mail,Favor,Opposed to the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Retired,25000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Native American,16,No,Full-time,65000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,130000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Retired,,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,Hispanic,18,No,Full-time,45000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Retired,90000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Part-time,,By mail,Oppose,Favor the death penalty,No,Probably is not happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,75000.0,In person before the election,Oppose,Don't know,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Asian,16,Yes,Full-time,225000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Don't know
Democratic Party,Yes,White,16,No,Full-time,110000.0,By mail,Favor,Favor the death penalty,No,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,25000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,45000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Oppose,Women have more opportunities than men
Republican Party,Yes,White,16,No,Retired,35000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,130000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,,In person on election day,Don't know,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,16,Yes,Full-time,175000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,No,Black,16,No,Full-time,,,Oppose,Favor the death penalty,No,Definitely is happening,Oppose,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Full-time,130000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Retired,65000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Unemployed,65000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Black,16,No,Part-time,10000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Republican Party,Yes,Mixed,18,No,Full-time,65000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,Yes,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,25000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Black,13,No,Retired,25000.0,In person before the election,Oppose,Favor the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,25000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,65000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Full-time,35000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Part-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,55000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Full-time,,In person on election day,Favor,Favor the death penalty,Don't know,Probably is not happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Middle Eastern,18,Yes,Full-time,,In person on election day,Don't know,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Part-time,45000.0,By mail,Favor,Favor the death penalty,Yes,Probably is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,Black,16,No,Permanently disabled,,In person before the election,Favor,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,45000.0,In person before the election,Favor,Favor the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Part-time,,In person on election day,Favor,Favor the death penalty,No,Probably is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Other,13,No,Full-time,110000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,Yes,Full-time,175000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Homemaker,55000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is not happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Retired,55000.0,By mail,Favor,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Part-time,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Full-time,65000.0,In person before the election,Favor,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Other,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,Black,18,Yes,Full-time,35000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Part-time,75000.0,In person on election day,Oppose,Opposed to the death penalty,No,Probably is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Retired,75000.0,In person on election day,Oppose,Favor the death penalty,No,Don't know,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,65000.0,In person on election day,Oppose,Opposed to the death penalty,No,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,175000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Permanently disabled,,In person before the election,Favor,Don't know,No,Definitely is not happening,Oppose,Women have more opportunities than men
Democratic Party,Yes,White,16,No,Full-time,90000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,75000.0,In person before the election,Oppose,Don't know,No,Don't know,Favor,Men and women have equal opportunities
Republican Party,Yes,Black,16,No,Part-time,,In person on election day,Oppose,Favor the death penalty,,Definitely is happening,Oppose,Men have more opportunities than women
Republican Party,Yes,White,13,No,Permanently disabled,10000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,90000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Part-time,65000.0,By mail,Favor,Opposed to the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,35000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Mixed,16,No,Full-time,110000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Retired,110000.0,By mail,Favor,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Retired,45000.0,In person on election day,Oppose,Don't know,No,Definitely is not happening,Don't know,Women have more opportunities than men
Republican Party,Yes,White,13,Yes,Full-time,90000.0,By mail,Don't know,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,Yes,Full-time,,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,,In person before the election,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,90000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,No,White,12,No,Full-time,25000.0,,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Black,16,Yes,Part-time,55000.0,In person before the election,Oppose,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Full-time,110000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,Mixed,13,No,Other,110000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,8,Yes,Full-time,110000.0,In person before the election,Don't know,Opposed to the death penalty,No,Don't know,Oppose,Men have more opportunities than women
Democratic Party,Yes,Black,13,No,Retired,65000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Don't know,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,110000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Mixed,13,No,Part-time,25000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Full-time,45000.0,In person on election day,Oppose,Opposed to the death penalty,Yes,Probably is not happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,,In person on election day,Favor,Favor the death penalty,No,Probably is happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Full-time,110000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,12,No,Full-time,65000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Democratic Party,Yes,White,16,Yes,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,Black,16,No,Full-time,55000.0,In person before the election,Oppose,Favor the death penalty,Don't know,Probably is not happening,Oppose,Women have more opportunities than men
Republican Party,Yes,White,13,No,Retired,90000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,300000.0,In person before the election,Don't know,Opposed to the death penalty,No,Don't know,Don't know,Don't know
Democratic Party,Yes,White,13,No,Full-time,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,25000.0,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Full-time,35000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Permanently disabled,15000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,35000.0,In person on election day,,,,,,
Republican Party,Yes,White,13,No,Retired,55000.0,In person before the election,Oppose,Favor the death penalty,Don't know,Probably is happening,Oppose,Men have more opportunities than women
Republican Party,Yes,Black,13,No,Full-time,110000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Favor,Don't know
Democratic Party,Yes,White,16,No,Full-time,15000.0,In person on election day,Oppose,Favor the death penalty,Yes,Definitely is happening,Don't know,Don't know
Democratic Party,Yes,White,16,No,Retired,45000.0,In person on election day,Don't know,Opposed to the death penalty,Don't know,Probably is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,18,Yes,Homemaker,65000.0,In person on election day,Favor,Favor the death penalty,No,Definitely is happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Part-time,130000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,35000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,130000.0,In person before the election,Don't know,Favor the death penalty,Yes,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Full-time,130000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,25000.0,In person before the election,Don't know,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,13,Yes,Full-time,90000.0,In person on election day,Favor,Favor the death penalty,No,Definitely is not happening,Don't know,Men have more opportunities than women
Republican Party,Yes,Black,16,No,Full-time,110000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Homemaker,225000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,Yes,Full-time,35000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,12,Yes,Homemaker,45000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Oppose,Women have more opportunities than men
Democratic Party,Yes,White,18,No,Full-time,75000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,110000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Part-time,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,Yes,Part-time,175000.0,In person before the election,Favor,Favor the death penalty,Yes,Probably is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,Asian,18,Yes,Full-time,225000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Unemployed,,In person on election day,Favor,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
